claim_number,age_of_driver,gender,marital_status,safty_rating,annual_income,high_education_ind,address_change_ind,living_status,zip_code,claim_date,claim_day_of_week,accident_site,past_num_of_claims,witness_present_ind,liab_prct,channel,policy_report_filed_ind,claim_est_payout,age_of_vehicle,vehicle_category,vehicle_price,vehicle_color,vehicle_weight
9172,48,F,1.0,59,38729,1,0,Own,50051,2/25/2016,Thursday,Highway,0,0.0,50,Broker,1,3324.246448,5.0,Medium,24837.450419999997,white,20958.56164
9173,53,F,1.0,97,39694,1,0,Own,20159,12/26/2016,Monday,Local,1,1.0,47,Phone,1,1737.234307,6.0,Large,49567.93923,blue,32409.479139999996
9174,51,F,0.0,71,39311,0,0,Rent,50051,1/22/2015,Thursday,Local,0,0.0,50,Broker,0,10253.163690000001,6.0,Compact,25824.09055,white,24474.33225
9175,37,F,0.0,90,36107,1,1,Own,50008,3/30/2016,Wednesday,Local,0,0.0,61,Online,0,5485.159411,6.0,Compact,14231.341880000002,other,19720.5886
9177,49,F,0.0,62,38922,1,1,Own,20159,6/22/2016,Wednesday,Local,0,0.0,24,Broker,0,8948.040657,8.0,Medium,24842.14013,black,22028.05986
9181,50,F,1.0,78,39127,1,1,Rent,20151,3/15/2016,Tuesday,Parking Lot,0,0.0,93,Phone,0,4463.832949000001,1.0,Compact,18607.82313,blue,15854.45525
9186,32,F,1.0,81,34649,1,1,Own,15052,2/1/2015,Sunday,Local,0,0.0,10,Broker,0,2404.902175,1.0,Medium,38318.16399,white,15681.02962
9189,28,M,0.0,64,33331,1,1,Own,15012,8/22/2015,Saturday,Highway,1,1.0,79,Online,1,4910.224866,6.0,Large,23643.50348,other,39631.56953
9200,22,M,0.0,55,30905,1,0,Rent,80028,2/6/2015,Friday,Highway,1,0.0,90,Online,1,3537.241981,2.0,Medium,17426.85218,other,8139.5347090000005
9201,51,M,1.0,71,39310,1,0,Own,80005,1/3/2015,Saturday,Highway,0,0.0,44,Broker,1,1958.045391,8.0,Large,33457.401589999994,white,8040.151126000001
9203,48,F,1.0,50,38715,1,1,Own,50036,12/22/2016,Thursday,Parking Lot,0,0.0,98,Broker,0,3613.357664,3.0,Medium,18676.238230000003,blue,25006.9049
9206,68,F,0.0,86,42203,1,1,Rent,85007,1/16/2015,Friday,Parking Lot,0,0.0,27,Online,0,1182.1670490000001,4.0,Compact,14832.15478,white,29508.48575
9207,31,M,1.0,88,34346,1,0,Own,85069,9/1/2015,Tuesday,Parking Lot,0,0.0,50,Phone,0,6086.149829999999,6.0,Medium,14917.95915,silver,10091.79272
9210,43,F,1.0,83,37633,1,1,Rent,50048,6/25/2015,Thursday,Parking Lot,0,0.0,100,Broker,1,4323.765044,9.0,Medium,31078.48015,other,17840.357669999998
9212,35,M,1.0,55,35548,1,0,Own,80020,3/11/2015,Wednesday,Local,0,0.0,49,Broker,1,6598.205575999999,3.0,Medium,37561.387910000005,white,18978.378930000003
9214,58,M,1.0,81,40575,1,1,Rent,80012,11/23/2016,Wednesday,Highway,0,1.0,85,Phone,0,,5.0,Large,30275.18195,black,44978.20529
9217,42,M,1.0,80,37367,1,1,Own,80044,12/1/2015,Tuesday,Local,2,0.0,76,Online,1,3894.9860719999997,6.0,Large,14304.38089,other,30243.074889999996
9219,40,F,1.0,78,36891,1,1,Rent,20153,8/11/2015,Tuesday,Parking Lot,0,0.0,0,Phone,0,7098.695869,2.0,Large,27534.676760000002,silver,17012.26364
9223,34,F,1.0,89,35275,0,0,Own,80006,9/27/2015,Sunday,Parking Lot,0,0.0,98,Broker,1,5835.489498,12.0,Large,46714.96248,white,28521.759560000002
9228,54,F,1.0,67,39893,0,1,Own,15022,1/5/2015,Monday,Local,0,0.0,97,Phone,0,6435.701575,6.0,Medium,17970.892819999997,gray,31308.65512
9229,45,M,1.0,75,38061,0,1,Own,15035,12/23/2016,Friday,Local,2,0.0,60,Broker,1,3292.359715,4.0,Compact,8997.369048,gray,33534.02925
9232,53,M,1.0,91,39683,1,0,Rent,85020,11/25/2015,Wednesday,Highway,0,1.0,49,Phone,0,1900.207514,2.0,Medium,41484.11312,other,51734.00069
9234,52,F,1.0,78,39514,0,1,Own,85068,5/21/2016,Saturday,Parking Lot,1,0.0,99,Phone,1,2752.147848,5.0,Medium,30860.71698,white,9738.926855
9235,29,F,0.0,73,33665,0,1,Rent,20104,8/28/2016,Sunday,Parking Lot,0,0.0,94,Online,1,6035.407619,6.0,Medium,10396.519690000001,other,40906.69252
9238,51,F,1.0,75,39331,1,1,Rent,80003,4/17/2016,Sunday,Local,0,0.0,74,Phone,1,2532.271753,3.0,Medium,15900.28731,other,18858.840969999997
9241,57,F,1.0,91,40414,0,1,Own,85030,11/29/2016,Tuesday,Highway,1,0.0,18,Broker,0,6412.434414,5.0,Medium,15754.738290000001,white,25332.755709999998
9244,49,F,1.0,21,38925,1,1,Own,15025,2/17/2016,Wednesday,Local,0,0.0,77,Broker,0,6962.399194,4.0,Medium,18033.0335,blue,19563.812980000002
9251,24,F,0.0,83,31788,1,0,Rent,85036,4/30/2016,Saturday,Parking Lot,2,0.0,1,Online,1,3972.150696,5.0,Large,29438.245389999996,gray,28917.987610000004
9259,31,M,0.0,43,34303,0,1,Rent,20148,5/30/2016,Monday,Local,0,0.0,25,Broker,0,6696.294819,3.0,Large,49134.86257,other,22969.11871
9260,20,M,0.0,75,29951,0,1,Rent,85072,3/26/2016,Saturday,Local,0,0.0,53,Online,0,3136.1344010000003,4.0,Medium,6675.002512,gray,25367.59195
9261,52,F,1.0,82,39501,1,0,Rent,50005,2/20/2015,Friday,Local,1,0.0,76,Broker,0,4738.118036,3.0,Medium,19113.39146,gray,30668.0273
9262,40,F,0.0,87,36869,0,0,Own,15003,5/5/2016,Thursday,Local,1,1.0,50,Broker,0,7247.241964,3.0,Medium,9579.869708,silver,26973.57694
9263,48,M,1.0,56,38710,1,1,Rent,80003,2/28/2016,Sunday,Local,0,0.0,9,Phone,1,4183.6894219999995,4.0,Large,32291.279539999996,blue,17436.45627
9265,36,F,1.0,98,35838,1,0,Own,50011,12/21/2015,Monday,Parking Lot,0,0.0,50,Broker,0,4727.9792130000005,8.0,Compact,18312.781919999998,black,21349.789719999997
9266,41,F,0.0,86,37145,1,0,Rent,15006,1/25/2015,Sunday,Parking Lot,1,0.0,50,Phone,1,2834.750129,3.0,Medium,17170.77303,red,16808.365169999997
9267,42,F,1.0,72,37384,1,0,Own,85077,2/24/2015,Tuesday,Highway,0,0.0,88,Broker,0,7594.304695000001,9.0,Medium,12525.07678,white,37972.97645
9270,51,M,0.0,84,39316,1,0,Own,20120,12/10/2015,Thursday,Parking Lot,0,0.0,50,Broker,0,1653.993839,7.0,Large,7507.570777,black,20733.94325
9271,36,F,1.0,91,35859,0,0,Own,50036,9/10/2016,Saturday,Local,0,0.0,92,Broker,0,4321.775792,5.0,Large,14839.37906,silver,18471.49207
9273,35,F,1.0,67,35542,0,0,Own,20146,8/25/2016,Thursday,Highway,0,0.0,41,Broker,1,3004.844565,4.0,Large,10943.37775,silver,23962.604890000002
9275,50,F,1.0,84,39134,1,0,Own,50044,4/25/2016,Monday,Parking Lot,0,0.0,91,Online,0,1602.798235,5.0,Compact,13165.86751,blue,10703.46534
9278,45,F,1.0,75,38082,1,0,Rent,20120,5/27/2016,Friday,Local,0,1.0,96,Broker,0,2910.280899,6.0,Compact,11200.41841,red,10235.004429999999
9283,63,F,1.0,81,41439,1,1,Rent,80015,5/17/2015,Sunday,Parking Lot,0,0.0,42,Online,0,10022.34938,6.0,Large,12375.45203,white,16496.41159
9287,29,M,1.0,99,33673,1,0,Rent,15009,2/25/2015,Wednesday,Local,2,0.0,24,Online,1,3457.924866,5.0,Compact,23610.651869999998,silver,17511.62672
9288,32,M,1.0,62,34656,1,1,Own,85022,12/18/2015,Friday,Parking Lot,0,0.0,42,Broker,1,8569.533102,5.0,Medium,15450.14547,other,11796.075420000001
9291,45,M,0.0,83,38070,1,1,Own,15024,5/7/2015,Thursday,Local,1,0.0,26,Broker,1,5975.279637,6.0,Large,19519.69069,other,18830.45621
9298,41,M,0.0,73,37138,1,0,Rent,15028,6/19/2016,Sunday,Parking Lot,0,0.0,0,Phone,1,8008.178518000001,7.0,Large,23318.23059,gray,17777.98387
9299,37,F,1.0,55,36114,1,1,Rent,20137,5/30/2015,Saturday,Local,0,0.0,50,Phone,0,12633.75509,3.0,Medium,21124.82129,gray,31143.662989999997
9302,44,F,1.0,95,37834,1,0,Rent,85077,1/13/2016,Wednesday,Local,1,0.0,5,Phone,1,5091.796956,4.0,Compact,27547.506589999997,gray,8922.691661
9304,60,F,0.0,74,40946,1,0,Own,50026,9/28/2015,Monday,Parking Lot,1,0.0,54,Phone,1,5573.999533,7.0,Large,21001.58193,black,54646.723029999994
9305,46,M,1.0,77,38276,0,0,Own,50011,7/24/2015,Friday,Local,0,1.0,25,Phone,0,5179.984783,7.0,Large,45787.51554,white,5361.062220000001
9306,33,M,1.0,90,34977,1,0,Own,85055,10/26/2016,Wednesday,Local,0,0.0,77,Broker,1,4923.707066,5.0,Compact,20043.93861,silver,12685.60355
9311,29,M,0.0,86,33671,1,1,Rent,15014,5/24/2016,Tuesday,Highway,1,0.0,50,Online,1,4400.338769,8.0,Large,29131.35363,white,45780.79842
9312,36,F,1.0,54,35834,1,1,Rent,80011,3/27/2016,Sunday,Local,0,0.0,48,Phone,1,3293.6943739999997,3.0,Medium,23540.61299,black,9400.141228
9315,65,M,1.0,59,41736,1,0,Rent,80031,2/17/2016,Wednesday,Parking Lot,0,1.0,40,Phone,1,5414.700664,3.0,Medium,10313.02749,silver,46888.72686
9316,37,M,1.0,80,36117,1,1,Rent,50011,8/12/2015,Wednesday,Local,0,0.0,80,Broker,1,5783.508143999999,2.0,Medium,21202.75234,silver,44749.99907
9317,32,F,0.0,62,34648,0,0,Own,15021,3/7/2016,Monday,Local,0,0.0,1,Broker,0,6965.286953,4.0,Compact,28621.724510000004,silver,10725.54446
9319,35,M,1.0,91,35547,1,1,Own,80022,8/7/2016,Sunday,Highway,0,0.0,6,Broker,1,4791.852797,2.0,Medium,32239.90238,blue,30784.24815
9323,34,M,1.0,93,35245,1,1,Own,50047,2/9/2016,Tuesday,Highway,0,0.0,30,Broker,0,7209.849104000001,1.0,Medium,36067.71775,red,19329.76858
9326,70,F,0.0,83,42473,1,0,Rent,80106,5/7/2016,Saturday,Parking Lot,1,0.0,100,Phone,1,5937.771697,2.0,Large,15624.73953,red,22605.9298
9333,21,M,1.0,82,30440,1,0,Rent,15009,3/8/2016,Tuesday,Parking Lot,1,1.0,90,Online,0,4879.198606,6.0,Medium,16692.343969999998,gray,40664.75915
9334,47,F,1.0,52,38514,0,1,Own,85012,12/15/2016,Thursday,Local,0,0.0,35,Broker,1,4140.2697530000005,3.0,Compact,27417.34455,silver,39875.52118
9335,51,F,0.0,69,39327,0,1,Own,15006,9/1/2015,Tuesday,Parking Lot,0,0.0,32,Online,1,3216.327342,10.0,Large,16206.180230000002,silver,46775.9162
9338,47,M,1.0,85,38492,0,1,Own,15012,2/22/2016,Monday,Local,0,0.0,85,Broker,0,5958.4565840000005,3.0,Medium,18722.85918,silver,15820.741680000001
9339,26,F,1.0,81,32580,1,1,Rent,15001,3/18/2016,Friday,Local,1,0.0,36,Online,1,4229.166645,4.0,Medium,13240.55282,gray,21356.58337
9340,32,M,0.0,90,34679,0,1,Own,85044,8/29/2015,Saturday,Local,1,0.0,90,Phone,0,8010.698837999999,9.0,Large,11277.746229999999,silver,63617.71944
9341,37,F,0.0,85,36115,0,1,Own,15015,11/29/2015,Sunday,Local,0,0.0,42,Broker,0,4480.250305,6.0,Medium,23996.280169999998,red,17778.65148
9343,42,F,1.0,66,37378,1,0,Own,15009,1/23/2015,Friday,Local,3,0.0,50,Broker,1,5289.1284670000005,5.0,Compact,46268.6746,silver,7028.814629
9344,32,F,0.0,65,34652,1,1,Own,50021,9/25/2016,Sunday,Parking Lot,1,0.0,39,Broker,1,6115.262429,4.0,Medium,33766.692339999994,gray,19288.36276
9345,38,M,1.0,84,36367,1,1,Own,85050,12/29/2016,Thursday,Highway,0,0.0,63,Broker,1,7814.1954430000005,6.0,Large,36232.37186,other,23973.35254
9346,40,M,1.0,75,36874,1,0,Own,20129,4/8/2016,Friday,Parking Lot,1,0.0,42,Broker,0,6369.744827,4.0,Compact,23778.811569999998,black,5069.543482
9349,31,M,0.0,83,34345,1,1,Rent,85064,1/26/2015,Monday,Local,2,0.0,77,Broker,1,4971.576159,4.0,Large,20777.45793,white,5318.1938119999995
9353,58,F,0.0,73,40605,1,1,Rent,85055,10/21/2015,Wednesday,Local,0,0.0,50,Phone,1,6425.805297999999,4.0,Large,26139.79868,gray,30421.915269999998
9354,51,F,0.0,53,39322,0,0,Rent,85043,5/15/2015,Friday,Parking Lot,0,0.0,1,Phone,0,4797.033186,7.0,Compact,18426.44773,gray,19890.42103
9359,30,M,0.0,57,33997,1,1,Own,20136,12/12/2015,Saturday,Parking Lot,1,0.0,14,Broker,1,5686.192358,10.0,Large,19125.23094,black,20824.355359999998
9362,49,M,1.0,76,38925,1,0,Own,80022,1/3/2015,Saturday,Parking Lot,0,0.0,2,Broker,0,2077.15042,6.0,Medium,8836.348639,white,18487.28992
9364,38,M,1.0,83,36372,1,0,Own,20165,10/5/2016,Wednesday,Highway,0,1.0,50,Phone,1,4943.494875,4.0,Medium,12397.75357,blue,61508.98003
9365,46,F,1.0,79,38290,1,1,Rent,50039,4/24/2015,Friday,Local,0,0.0,44,Phone,0,3202.051366,4.0,Large,16521.111109999998,blue,20348.68358
9369,55,M,1.0,86,40090,1,1,Own,15050,5/28/2015,Thursday,Local,0,0.0,6,Phone,1,7711.650188,6.0,Medium,21480.667680000002,silver,26766.4005
9372,58,F,0.0,72,40589,1,1,Own,85061,11/27/2016,Sunday,Parking Lot,0,0.0,92,Broker,1,3646.239947,1.0,Medium,37729.19492,black,18965.56219
9374,59,M,1.0,35,40783,1,0,Own,85034,9/7/2016,Wednesday,Local,0,0.0,1,Online,1,8043.375881999999,3.0,Medium,9852.056940999999,blue,7550.8450219999995
9375,43,F,1.0,72,37618,1,1,Own,80105,9/1/2015,Tuesday,Local,1,0.0,59,Phone,1,4891.732459000001,3.0,Compact,16363.285269999998,blue,11618.34421
9381,40,M,0.0,64,36882,1,1,Rent,80031,7/4/2016,Monday,Parking Lot,0,0.0,49,Broker,1,10219.297620000001,3.0,Large,13431.80658,silver,10367.90007
9385,53,M,1.0,56,39709,1,0,Rent,85050,8/22/2015,Saturday,Parking Lot,0,0.0,32,Phone,1,3173.630143,3.0,Large,20587.50582,other,11025.4315
9387,36,M,0.0,68,35852,1,1,Rent,50023,2/26/2015,Thursday,Parking Lot,1,0.0,5,Broker,0,4982.552045,5.0,Medium,10947.452229999999,white,22999.15265
9388,42,M,1.0,65,37386,1,0,Rent,20105,5/20/2016,Friday,Local,0,1.0,76,Broker,1,5126.322613,3.0,Medium,7403.723857999999,other,31869.803069999998
9391,28,M,0.0,89,33327,1,0,Rent,20102,5/10/2016,Tuesday,Parking Lot,0,0.0,43,Online,0,5750.244634000001,10.0,Compact,7143.392443000001,black,31237.8506
9392,64,M,0.0,79,41597,1,0,Own,15033,7/15/2015,Wednesday,Parking Lot,2,1.0,100,Broker,1,7044.734162000001,5.0,Medium,8599.940982,blue,8009.636951
9394,43,M,1.0,89,37626,1,0,Own,50048,10/31/2015,Saturday,Local,1,1.0,2,Broker,1,2096.685866,4.0,Medium,10269.56382,silver,6555.697265999999
9395,49,M,1.0,81,38916,1,1,Rent,50059,12/8/2016,Thursday,Parking Lot,0,1.0,50,Broker,1,4276.167127000001,1.0,Medium,13991.618359999999,other,21719.05676
9396,41,M,1.0,77,37128,1,0,Rent,80021,6/29/2016,Wednesday,Local,0,0.0,59,Phone,1,4701.183309,5.0,Medium,34428.07928,black,17861.48654
9398,58,F,0.0,54,40613,0,0,Own,50022,8/10/2016,Wednesday,Local,0,1.0,50,Broker,1,6624.938701,5.0,Large,14565.25925,red,8073.00362
9402,46,M,1.0,70,38284,0,1,Own,85012,1/20/2016,Wednesday,Local,2,0.0,84,Phone,1,5236.290919,3.0,Compact,31202.643589999996,blue,27983.131569999998
9403,55,M,1.0,76,40081,1,1,Own,80107,3/14/2016,Monday,Parking Lot,0,0.0,63,Broker,1,3996.662594,3.0,Compact,8869.15373,gray,75540.08367
9405,45,F,0.0,78,38061,1,1,Rent,50039,6/19/2015,Friday,Local,0,0.0,94,Broker,0,3229.8642800000002,4.0,Medium,30257.83512,gray,13785.13431
9406,56,F,0.0,74,40244,1,1,Rent,50021,1/8/2015,Thursday,Parking Lot,0,0.0,61,Phone,0,3689.4738799999996,2.0,Compact,40502.21171,red,19566.962669999997
9407,48,M,1.0,68,38724,1,0,Rent,50051,8/4/2016,Thursday,Local,0,0.0,50,Phone,1,1169.232842,3.0,Large,48465.061180000004,black,36438.77259
9413,43,M,1.0,79,37599,0,0,Own,20120,5/30/2016,Monday,Local,0,0.0,9,Broker,1,2057.400396,6.0,Compact,22465.287969999998,red,13064.05978
9414,41,F,1.0,73,37127,1,0,Rent,50012,2/26/2015,Thursday,Parking Lot,0,0.0,4,Broker,1,2708.778732,7.0,Large,14985.959659999999,red,21689.61778
9415,33,M,1.0,74,34951,1,0,Own,85063,2/10/2015,Tuesday,Local,0,0.0,71,Phone,1,7783.736816,8.0,Compact,34876.53729,silver,11551.24662
9419,33,M,1.0,82,34949,0,0,Rent,20143,2/1/2015,Sunday,Parking Lot,0,0.0,93,Phone,1,1990.0240809999998,6.0,Compact,14085.025090000001,silver,10780.83883
9422,49,M,1.0,57,38900,1,0,Rent,20131,1/11/2016,Monday,Local,0,0.0,54,Broker,0,7145.769273000001,5.0,Large,22527.28157,other,19935.34298
9423,38,M,1.0,86,36374,1,0,Own,80005,11/17/2015,Tuesday,Local,1,0.0,34,Broker,1,7173.0301819999995,5.0,Compact,25453.959769999998,blue,37013.998569999996
9426,36,F,1.0,47,35850,1,0,Own,15021,6/17/2015,Wednesday,Parking Lot,1,0.0,54,Broker,1,5994.936497,4.0,Medium,16636.46299,gray,23611.00977
9429,48,M,1.0,79,38724,1,0,Own,80025,5/20/2016,Friday,Local,0,0.0,34,Broker,0,5764.256275,5.0,Compact,26580.2022,gray,42798.41059
9430,45,M,0.0,53,38080,0,0,Own,80103,10/13/2016,Thursday,Highway,0,0.0,0,Broker,1,12459.80952,6.0,Compact,25280.41903,white,50750.79328
9433,81,M,1.0,7,43944,0,0,Own,50002,1/27/2015,Tuesday,Local,0,0.0,97,Broker,0,4251.166707,4.0,Compact,30491.570389999997,white,28139.20629
9435,47,F,1.0,49,38488,0,0,Own,85034,8/26/2015,Wednesday,Local,0,0.0,31,Online,1,4620.047775,4.0,Large,27507.25213,silver,11528.58709
9436,44,M,1.0,63,37850,0,1,Own,80010,1/26/2016,Tuesday,Local,1,1.0,99,Broker,0,1773.038211,5.0,Large,31009.561,black,12132.234120000001
9443,52,F,1.0,81,39509,1,0,Own,20152,3/18/2016,Friday,Highway,1,1.0,69,Phone,0,6381.425423,5.0,Medium,49273.4971,white,14394.69959
9445,38,M,1.0,82,36368,0,0,Own,50032,7/3/2016,Sunday,Parking Lot,1,0.0,69,Phone,0,6356.598095,5.0,Medium,24628.490690000002,black,31517.331889999998
9446,64,M,0.0,85,41591,1,0,Rent,20165,4/8/2015,Wednesday,Local,1,0.0,11,Broker,1,3204.905888,11.0,Medium,12206.10597,blue,21495.78296
9451,33,M,1.0,89,34964,1,1,Rent,15010,4/18/2016,Monday,Highway,3,0.0,49,Phone,1,2948.942837,4.0,Compact,10368.89002,gray,9480.521218
9452,43,M,0.0,58,37627,1,1,Rent,85078,4/17/2015,Friday,Local,0,1.0,26,Phone,0,4247.382265,3.0,Large,24126.4511,white,16795.95102
9454,51,M,0.0,60,39324,1,1,Rent,50020,10/25/2016,Tuesday,Highway,0,1.0,59,Broker,1,4972.569504,6.0,Compact,16178.15835,gray,31542.645360000002
9455,39,F,1.0,58,36639,1,1,Own,20140,10/12/2015,Monday,Local,0,0.0,13,Broker,1,6400.311372,7.0,Medium,24350.560540000002,black,40317.824089999995
9458,45,M,1.0,63,38070,1,0,Own,50058,8/1/2016,Monday,Local,0,0.0,0,Phone,1,4257.280594,6.0,Large,17477.052330000002,gray,24122.79255
9459,29,F,0.0,74,33686,1,0,Rent,15055,10/7/2016,Friday,Local,1,0.0,13,Online,1,3764.5692280000003,5.0,Compact,26832.0598,blue,21998.32104
9462,23,M,1.0,70,31363,1,0,Rent,80016,3/28/2016,Monday,Parking Lot,0,0.0,100,Broker,1,7079.549883,6.0,Large,12893.96609,white,24676.44786
9464,38,M,0.0,73,36376,1,1,Rent,15052,5/31/2015,Sunday,Local,0,1.0,32,Broker,0,4790.664675,1.0,Compact,34950.88843,silver,54692.89467
9467,51,M,0.0,90,39308,0,1,Rent,85051,7/2/2015,Thursday,Local,3,0.0,70,Broker,1,8438.634369,3.0,Large,7739.781988,gray,21308.904730000002
9473,68,M,0.0,69,42201,1,0,Rent,80021,12/6/2016,Tuesday,Parking Lot,0,0.0,69,Broker,1,4930.325031,6.0,Medium,26047.23711,white,9407.174452
9477,43,M,1.0,82,37621,1,1,Rent,15033,10/24/2015,Saturday,Parking Lot,2,1.0,88,Phone,1,2254.996537,8.0,Medium,28619.74444,gray,32764.350660000004
9478,38,F,0.0,91,36380,0,1,Own,50054,9/4/2016,Sunday,Local,0,0.0,50,Broker,0,6192.160164,7.0,Compact,32269.26572,white,24192.73373
9479,31,M,1.0,69,34332,1,0,Own,20151,2/2/2015,Monday,Local,0,1.0,36,Broker,1,3608.4342380000003,9.0,Compact,32347.58043,white,12725.18651
9481,32,M,1.0,81,34666,1,1,Rent,20139,1/1/2015,Thursday,Local,0,1.0,50,Broker,0,5731.641256,7.0,Large,8262.653301999999,black,30976.685869999998
9488,35,F,0.0,73,35550,1,0,Rent,15010,2/10/2015,Tuesday,Local,0,1.0,0,Phone,1,3597.9171659999997,8.0,Compact,16250.742619999999,blue,43823.832010000006
9489,45,M,1.0,28,38061,0,1,Own,15055,6/8/2015,Monday,Highway,0,1.0,1,Broker,1,3508.7603299999996,4.0,Medium,47501.91173,blue,21404.37545
9496,63,F,0.0,67,41434,1,1,Own,80020,8/15/2015,Saturday,Highway,4,0.0,1,Broker,1,6153.040829,1.0,Large,30757.238739999997,red,58658.21422
9498,39,M,1.0,86,36636,1,0,Rent,85012,3/17/2016,Thursday,Parking Lot,3,0.0,98,Broker,1,7259.357016,8.0,Large,10562.097759999999,black,62833.88443
9499,53,M,1.0,95,39698,0,1,Own,80101,1/18/2016,Monday,Parking Lot,0,0.0,21,Phone,0,2093.3721010000004,3.0,Large,11861.270120000001,white,14069.00471
9503,48,M,0.0,81,38724,0,1,Rent,15053,3/24/2016,Thursday,Parking Lot,0,0.0,13,Broker,0,6127.7644119999995,7.0,Compact,10849.73077,white,10316.91295
9507,55,M,1.0,44,40064,0,1,Rent,85031,1/20/2016,Wednesday,Highway,0,0.0,85,Online,0,6588.643821,4.0,Large,39430.53015,silver,18676.55917
9511,41,M,1.0,70,37139,1,1,Own,80033,2/8/2016,Monday,Local,0,0.0,15,Broker,1,4363.717386,5.0,Compact,21985.35968,white,9743.728337
9512,29,F,1.0,60,33664,0,1,Rent,80016,8/22/2016,Monday,Parking Lot,1,0.0,74,Online,0,4530.476401,10.0,Compact,19847.32997,black,50981.161830000005
9514,39,F,1.0,68,36628,0,1,Own,50028,1/28/2015,Wednesday,Parking Lot,0,0.0,98,Broker,1,6162.233666,2.0,Compact,9666.16582,white,52396.774560000005
9515,26,F,1.0,50,32581,1,1,Rent,80036,5/29/2015,Friday,Local,0,0.0,80,Online,0,4346.551477,7.0,Medium,28031.5486,white,31478.46572
9516,52,M,1.0,82,39521,0,1,Rent,20134,5/22/2015,Friday,Highway,0,0.0,89,Broker,0,5424.897639,3.0,Medium,12475.251059999999,other,25475.59331
9517,52,M,0.0,90,39523,1,1,Own,15038,10/4/2016,Tuesday,Local,0,0.0,56,Broker,0,5760.785877,1.0,Medium,26499.29793,other,14563.1504
9518,35,M,1.0,79,35546,0,0,Rent,15019,9/14/2015,Monday,Parking Lot,0,1.0,35,Phone,1,3830.532678,2.0,Compact,17828.00417,black,14536.88585
9519,60,M,0.0,89,40937,1,1,Rent,80011,8/12/2015,Wednesday,Parking Lot,0,0.0,49,Broker,0,5165.094721,4.0,Medium,15387.696280000002,black,22417.717940000002
9522,71,F,1.0,99,42621,1,1,Own,50005,6/25/2015,Thursday,Local,0,1.0,84,Broker,0,6760.2245,7.0,Large,6958.2116989999995,silver,17134.53009
9523,36,F,1.0,25,35834,1,0,Rent,85043,2/15/2016,Monday,Highway,0,0.0,54,Phone,0,8417.700534,6.0,Medium,15234.660530000001,silver,32940.53432
9529,48,F,0.0,59,38715,0,0,Rent,85051,3/22/2016,Tuesday,Local,0,0.0,17,Broker,0,5415.632394,8.0,Compact,24289.61574,silver,21040.79237
9532,40,M,0.0,67,36878,1,1,Own,85006,9/22/2016,Thursday,Highway,0,0.0,46,Phone,0,6295.988222999999,6.0,Medium,16262.277430000002,black,41267.11029
9533,41,F,1.0,69,37136,1,1,Own,15047,12/14/2015,Monday,Parking Lot,0,0.0,0,Broker,1,2731.315493,7.0,Medium,13446.610669999998,red,20723.32162
9535,38,M,1.0,88,36371,0,0,Own,15003,10/10/2015,Saturday,Parking Lot,0,0.0,5,Phone,1,4070.731963,6.0,Compact,8849.690123999999,silver,16926.31407
9536,31,F,1.0,86,34327,0,1,Own,20115,5/10/2016,Tuesday,Local,0,1.0,35,Online,1,5502.28629,6.0,Compact,31875.076360000003,gray,7124.404014
9538,58,M,1.0,98,40598,0,1,Own,20165,5/15/2016,Sunday,Parking Lot,5,0.0,4,Broker,1,4220.944246999999,4.0,Large,25730.18046,silver,17814.69438
9540,63,F,1.0,87,41423,1,0,Own,15035,7/12/2016,Tuesday,Local,3,0.0,29,Broker,1,5170.799406,4.0,Large,18303.616140000002,silver,27646.795960000003
9541,54,F,1.0,74,39893,1,1,Own,85034,2/16/2016,Tuesday,Local,2,1.0,57,Broker,1,1852.828762,4.0,Compact,21236.27411,white,15272.50736
9542,30,M,1.0,86,34020,1,1,Rent,85037,3/14/2016,Monday,Highway,0,0.0,0,Phone,1,3264.901247,4.0,Medium,59618.228729999995,white,32549.647419999998
9545,44,F,1.0,92,37837,1,0,Own,80002,9/2/2016,Friday,Highway,0,0.0,2,Broker,0,6231.221482,5.0,Compact,42707.70461,white,16009.99081
9548,42,F,1.0,16,37381,1,1,Rent,85069,6/7/2016,Tuesday,Parking Lot,0,0.0,81,Phone,0,2771.7392489999997,6.0,Compact,29814.30626,red,22314.43173
9549,41,M,1.0,81,37139,0,1,Rent,20155,8/20/2016,Saturday,Parking Lot,0,0.0,29,Broker,0,6295.17202,2.0,Compact,18837.85921,red,15109.84786
9552,46,M,1.0,70,38275,0,0,Rent,80038,12/20/2016,Tuesday,Local,3,0.0,47,Phone,1,4941.383638,5.0,Large,24476.335769999998,silver,24475.048580000002
9559,64,M,1.0,74,41572,0,1,Rent,80010,11/19/2015,Thursday,Parking Lot,0,0.0,59,Broker,0,11515.26174,7.0,Medium,10371.5989,gray,44424.92691
9560,52,M,1.0,86,39514,1,0,Rent,0,9/5/2016,Monday,Local,0,1.0,20,Broker,1,3236.00956,8.0,Compact,14242.954619999999,red,35029.99831
9561,40,F,1.0,81,36900,1,1,Rent,85070,5/11/2016,Wednesday,Local,0,0.0,93,Broker,1,1700.028914,10.0,Medium,54989.391189999995,black,16251.323719999999
9564,37,F,1.0,66,36125,0,1,Own,15010,12/26/2015,Saturday,Parking Lot,0,0.0,47,Phone,1,2827.946162,4.0,Large,27387.047000000002,other,6176.768267
